orphenadrine,9606.ensp00000219833
estradiol,9606.ensp00000275300
zafirlukast,9606.ensp00000360372
estrone,9606.ensp00000440689
gefitinib,9606.ensp00000222982
butalbital,9606.ensp00000430100
daclizumab,9606.ensp00000363770
digitoxin,9606.ensp00000337915
carbamoylcholine,9606.ensp00000399745
cefazolin,9606.ensp00000301891
temazepam,9606.ensp00000410732
aspartame,9606.ensp00000459962
ethanol,9606.ensp00000296526
progesterone,9606.ensp00000256958
magnesium sulfate,9606.ensp00000266376
alfentanil,9606.ensp00000222982
efalizumab,9606.ensp00000358165
thiopental,9606.ensp00000393097
temazepam,9606.ensp00000479113
clozapine,9606.ensp00000368766
mifepristone,9606.ensp00000480571
fluoxetine,9606.ensp00000324648
formoterol,9606.ensp00000343782
pentobarbital,9606.ensp00000421828
nicotine,9606.ensp00000407546
diphenhydramine,9606.ensp00000380247
isoflurane,9606.ensp00000359337
cerivastatin,9606.ensp00000360317
imipramine,9606.ensp00000480571
butobarbital,9606.ensp00000296526
diphenhydramine,9606.ensp00000245407
flupentixol,9606.ensp00000437737
promethazine,9606.ensp00000255380
cinnarizine,9606.ensp00000385019
allopurinol,9606.ensp00000363832
verapamil,9606.ensp00000361608
mycophenolate mofetil,9606.ensp00000237612
l-aspartic acid,9606.ensp00000381057
adinazolam,9606.ensp00000481321
calcium,9606.ensp00000264933
valproic acid,9606.ensp00000260682
mibefradil,9606.ensp00000480571
thiopental,9606.ensp00000335592
levocarnitine,9606.ensp00000200652
minaprine,9606.ensp00000303211
buspirone,9606.ensp00000222982
quetiapine,9606.ensp00000480573
celecoxib,9606.ensp00000285381
butalbital,9606.ensp00000308725
methadone,9606.ensp00000250699
escitalopram,9606.ensp00000306490
estazolam,9606.ensp00000421828
alemtuzumab,9606.ensp00000363770
phenytoin,9606.ensp00000410257
zidovudine,9606.ensp00000350024
pimozide,9606.ensp00000353820
zidovudine,9606.ensp00000337335
risperidone,9606.ensp00000437737
diazepam,9606.ensp00000295897
nifedipine,9606.ensp00000263817
nitrendipine,9606.ensp00000349320
rosiglitazone,9606.ensp00000287820
oxycodone,9606.ensp00000394936
methoxyflurane,9606.ensp00000371985
antipyrine,9606.ensp00000367102
doxorubicin,9606.ensp00000324648
tositumomab,9606.ensp00000358165
desipramine,9606.ensp00000276198
olanzapine,9606.ensp00000316244
topiramate,9606.ensp00000335592
ketoconazole,9606.ensp00000324648
glipizide,9606.ensp00000303960
simvastatin,9606.ensp00000337915
genistein,9606.ensp00000380281
pimozide,9606.ensp00000222982
dextropropoxyphene,9606.ensp00000265572
troglitazone,9606.ensp00000343838
natalizumab,9606.ensp00000351497
celecoxib,9606.ensp00000353820
loxapine,9606.ensp00000377353
methyprylon,9606.ensp00000264318
heparin,9606.ensp00000393312
troglitazone,9606.ensp00000256958
abciximab,9606.ensp00000351497
telmisartan,9606.ensp00000287820
lovastatin,9606.ensp00000287936
ziprasidone,9606.ensp00000337949
adenosine,9606.ensp00000365413
troglitazone,9606.ensp00000369050
nortriptyline,9606.ensp00000372750
dextromethorphan,9606.ensp00000394624
quercetin,9606.ensp00000360317
atp,9606.ensp00000382342
ethanol,9606.ensp00000288139
tamoxifen,9606.ensp00000369816
methadone,9606.ensp00000285979
pioglitazone,9606.ensp00000385523
clomipramine,9606.ensp00000353820
glyburide,9606.ensp00000478255
oxazepam,9606.ensp00000386029
desipramine,9606.ensp00000372750
loxapine,9606.ensp00000347754
insulin pork,9606.ensp00000303830
topiramate,9606.ensp00000274547
gefitinib,9606.ensp00000259396
bromazepam,9606.ensp00000479113
sulfasalazine,9606.ensp00000289575
ethanol,9606.ensp00000315602
progesterone,9606.ensp00000353820
cimetidine,9606.ensp00000263817
methylphenobarbital,9606.ensp00000359285
acamprosate,9606.ensp00000274545
estrone,9606.ensp00000311095
loxapine,9606.ensp00000261707
clorazepic acid,9606.ensp00000295452
clotrimazole,9606.ensp00000261196
propofol,9606.ensp00000393097
genistein,9606.ensp00000342007
meloxicam,9606.ensp00000354612
estradiol,9606.ensp00000217159
quinidine,9606.ensp00000410257
ondansetron,9606.ensp00000358963
verapamil,9606.ensp00000320025
fluticasone propionate,9606.ensp00000350815
torasemide,9606.ensp00000379822
meprobamate,9606.ensp00000393097
escitalopram,9606.ensp00000380247
nadh,9606.ensp00000355995
cocaine,9606.ensp00000390600
lidocaine,9606.ensp00000480571
carbamazepine,9606.ensp00000357461
desflurane,9606.ensp00000410732
midazolam,9606.ensp00000264318
ursodeoxycholic acid,9606.ensp00000447149
phenacetin,9606.ensp00000353820
propafenone,9606.ensp00000353820
isoniazid,9606.ensp00000360317
lovastatin,9606.ensp00000304811
losartan,9606.ensp00000337915
estazolam,9606.ensp00000274545
docetaxel,9606.ensp00000361608
chlordiazepoxide,9606.ensp00000479113
orphenadrine,9606.ensp00000390600
methotrimeprazine,9606.ensp00000373169
testosterone,9606.ensp00000237612
nitrazepam,9606.ensp00000359337
nicardipine,9606.ensp00000324648
ziprasidone,9606.ensp00000363748
citalopram,9606.ensp00000478255
dopamine,9606.ensp00000355930
glycine,9606.ensp00000216951
liothyronine,9606.ensp00000264637
fluoxetine,9606.ensp00000353820
basiliximab,9606.ensp00000433642
estradiol,9606.ensp00000342007
nifedipine,9606.ensp00000266376
ibuprofen,9606.ensp00000366084
diazepam,9606.ensp00000480571
levomenthol,9606.ensp00000323926
dexamethasone,9606.ensp00000311095
butalbital,9606.ensp00000335592
troglitazone,9606.ensp00000223095
digitoxin,9606.ensp00000295897
lamotrigine,9606.ensp00000362508
sorafenib,9606.ensp00000263923
primidone,9606.ensp00000479113
